variant_id,min_overnight_range_points,reclaim_buffer_ticks,signals,signal_days,signals_per_year,signal_days_per_year,latest_252_signals,latest_252_signal_days,density_pass
morning_low_extreme_reclaim_long_1130,20,0,1204,1204,78.17973333333333,78.17973333333333,98,98,True
morning_low_extreme_reclaim_long_1130,20,1,1197,1197,77.7252,77.7252,98,98,True
morning_low_extreme_reclaim_long_1130,20,2,1192,1192,77.40053333333334,77.40053333333334,98,98,True
morning_low_extreme_reclaim_long_1130,40,0,856,856,55.58293333333334,55.58293333333334,98,98,True
morning_low_extreme_reclaim_long_1130,40,1,853,853,55.388133333333336,55.388133333333336,98,98,True
morning_low_extreme_reclaim_long_1130,40,2,850,850,55.193333333333335,55.193333333333335,98,98,True
morning_low_extreme_reclaim_long_1130,60,0,714,714,46.3624,46.3624,96,96,True
morning_low_extreme_reclaim_long_1130,60,1,713,713,46.29746666666667,46.29746666666667,96,96,True
morning_low_extreme_reclaim_long_1130,60,2,710,710,46.10266666666667,46.10266666666667,96,96,True
morning_high_extreme_reject_short_1130,20,0,1299,1299,84.3484,84.3484,108,108,True
morning_high_extreme_reject_short_1130,20,1,1288,1288,83.63413333333334,83.63413333333334,107,107,True
morning_high_extreme_reject_short_1130,20,2,1275,1275,82.79,82.79,107,107,True
morning_high_extreme_reject_short_1130,40,0,946,946,61.42693333333334,61.42693333333334,108,108,True
morning_high_extreme_reject_short_1130,40,1,941,941,61.10226666666667,61.10226666666667,107,107,True
morning_high_extreme_reject_short_1130,40,2,934,934,60.647733333333335,60.647733333333335,107,107,True
morning_high_extreme_reject_short_1130,60,0,793,793,51.492133333333335,51.492133333333335,107,107,True
morning_high_extreme_reject_short_1130,60,1,791,791,51.36226666666667,51.36226666666667,106,106,True
morning_high_extreme_reject_short_1130,60,2,788,788,51.16746666666667,51.16746666666667,106,106,True
extended_low_extreme_reclaim_long_1230,20,0,1320,1320,85.712,85.712,109,109,True
extended_low_extreme_reclaim_long_1230,20,1,1315,1315,85.38733333333333,85.38733333333333,109,109,True
extended_low_extreme_reclaim_long_1230,20,2,1311,1311,85.1276,85.1276,109,109,True
extended_low_extreme_reclaim_long_1230,40,0,940,940,61.037333333333336,61.037333333333336,109,109,True
extended_low_extreme_reclaim_long_1230,40,1,938,938,60.90746666666667,60.90746666666667,109,109,True
extended_low_extreme_reclaim_long_1230,40,2,937,937,60.842533333333336,60.842533333333336,109,109,True
extended_low_extreme_reclaim_long_1230,60,0,787,787,51.102533333333334,51.102533333333334,107,107,True
extended_low_extreme_reclaim_long_1230,60,1,786,786,51.037600000000005,51.037600000000005,107,107,True
extended_low_extreme_reclaim_long_1230,60,2,785,785,50.97266666666667,50.97266666666667,107,107,True
extended_high_extreme_reject_short_1230,20,0,1410,1410,91.556,91.556,119,119,True
extended_high_extreme_reject_short_1230,20,1,1396,1396,90.64693333333334,90.64693333333334,118,118,True
extended_high_extreme_reject_short_1230,20,2,1387,1387,90.06253333333333,90.06253333333333,118,118,True
extended_high_extreme_reject_short_1230,40,0,1025,1025,66.55666666666667,66.55666666666667,119,119,True
extended_high_extreme_reject_short_1230,40,1,1019,1019,66.16706666666667,66.16706666666667,118,118,True
extended_high_extreme_reject_short_1230,40,2,1015,1015,65.90733333333334,65.90733333333334,118,118,True
extended_high_extreme_reject_short_1230,60,0,853,853,55.388133333333336,55.388133333333336,118,118,True
extended_high_extreme_reject_short_1230,60,1,850,850,55.193333333333335,55.193333333333335,117,117,True
extended_high_extreme_reject_short_1230,60,2,847,847,54.998533333333334,54.998533333333334,117,117,True
morning_two_sided_extreme_reclaim_1130,20,0,2223,2223,144.3468,144.3468,185,185,True
morning_two_sided_extreme_reclaim_1130,20,1,2206,2206,143.24293333333333,143.24293333333333,184,184,True
morning_two_sided_extreme_reclaim_1130,20,2,2193,2193,142.3988,142.3988,184,184,True
morning_two_sided_extreme_reclaim_1130,40,0,1603,1603,104.08813333333332,104.08813333333332,185,185,True
morning_two_sided_extreme_reclaim_1130,40,1,1595,1595,103.56866666666669,103.56866666666669,184,184,True
morning_two_sided_extreme_reclaim_1130,40,2,1587,1587,103.0492,103.0492,184,184,True
morning_two_sided_extreme_reclaim_1130,60,0,1332,1332,86.4912,86.4912,182,182,True
morning_two_sided_extreme_reclaim_1130,60,1,1329,1329,86.2964,86.2964,181,181,True
morning_two_sided_extreme_reclaim_1130,60,2,1324,1324,85.97173333333333,85.97173333333333,181,181,True
